"mean";"median";"sd";"best";"worst";"score"
4.84;4.86;0.14;4.99;2.86;NA
4.88;4.9;0.09;4.99;3.76;NA
4.9;4.92;0.1;4.99;3.83;NA
4.93;4.93;0.06;4.99;4.19;NA
4.93;4.95;0.09;4.99;4.09;NA
4.94;4.96;0.09;5;3.85;NA
4.94;4.97;0.15;5;3.57;NA
4.95;4.97;0.09;5;3.91;NA
4.96;4.98;0.1;5;4.12;NA
4.96;4.98;0.12;5;3.8;NA
4.96;4.99;0.13;5;3.47;NA
4.97;4.99;0.1;5;3.85;NA
4.97;4.99;0.09;5;3.98;NA
4.97;5;0.09;5;4.08;NA
4.97;5;0.12;5;3.48;NA
4.97;5;0.11;5;3.84;NA
4.96;5;0.14;5;3.82;NA
4.97;5;0.11;5;3.92;NA
4.97;5;0.1;5;3.94;NA
4.97;5;0.1;5;3.9;NA
4.97;5;0.13;5;3.76;NA
4.97;5;0.14;5;3.21;NA
4.98;5;0.1;5;3.94;NA
4.97;5;0.13;5;3.89;NA
4.97;5;0.1;5;3.94;NA
4.97;5;0.11;5;3.78;NA
4.97;5;0.12;5;3.75;NA
4.98;5;0.1;5;3.91;NA
